Location,Variable,Date,Actual,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9
KCMI,MaxPoP,2016-08-18,58,54,36,50,52,47,32,14,17,16,17
KCMI,MaxPoP,2016-08-19,19,40,41,24,30,62,32,19,40,21,36
KCMI,MaxPoP,2016-08-20,30,71,81,90,78,88,78,58,43,58,58
KCMI,MaxPoP,2016-08-21,8,8,8,8,12,65,24,31,49,58,52
KCMI,MaxPoP,2016-08-22,7,8,7,7,6,7,30,6,18,22,58
KCMI,MaxPoP,2016-08-23,15,15,15,7,6,7,6,11,6,5,17
KCMI,MaxPoP,2016-08-24,39,63,62,66,58,58,47,58,11,7,7
KCMI,MaxPoP,2016-08-25,20,52,62,90,93,58,58,58,58,58,24
KCMI,MaxPoP,2016-08-26,58,39,15,24,6,8,10,22,34,35,58
KCMI,MaxPoP,2016-08-27,58,58,52,58,58,8,14,12,20,50,58
KCMI,MaxPoP,2016-08-28,15,58,50,56,58,51,13,24,58,24,58
KCMI,MaxPoP,2016-08-29,15,24,33,56,55,24,58,21,32,23,38
KCMI,MaxPoP,2016-08-30,58,33,45,38,58,20,20,30,35,58,38
KCMI,MaxPoP,2016-08-31,15,18,74,57,58,38,31,15,32,24,48
KCMI,MaxPoP,2016-09-01,6,7,8,8,9,6,24,37,15,24,51
KCMI,MaxPoP,2016-09-02,0,7,9,9,8,8,8,15,23,18,37
KCMI,MaxPoP,2016-09-03,0,7,8,8,7,6,7,10,22,50,32
KCMI,MaxPoP,2016-09-04,4,6,8,7,7,6,7,6,8,19,53
KCMI,MaxPoP,2016-09-05,15,17,17,5,4,4,6,6,17,33,24
KCMI,MaxPoP,2016-09-06,15,15,22,9,6,7,5,4,58,16,16
KCMI,MaxPoP,2016-09-07,64,24,24,40,33,15,24,33,58,58,24
KCMI,MaxPoP,2016-09-08,59,51,61,51,69,58,58,36,32,58,24
KCMI,MaxPoP,2016-09-09,69,80,90,99,99,74,58,58,58,24,58
KCMI,MaxPoP,2016-09-10,96,71,47,91,88,58,58,58,58,58,58
KCMI,MaxPoP,2016-09-11,0,6,8,7,6,6,2,8,21,58,58
KCMI,MaxPoP,2016-09-12,0,6,7,8,7,7,6,14,24,24,40
KCMI,MaxPoP,2016-09-13,48,56,43,8,33,37,23,17,55,20,58
KCMI,MaxPoP,2016-09-14,39,56,49,45,48,58,58,58,51,56,58
KCMI,MaxPoP,2016-09-15,15,15,9,7,9,12,7,7,9,8,24
KCMI,MaxPoP,2016-09-16,90,80,80,91,93,85,58,8,58,24,23
KCMI,MaxPoP,2016-09-17,86,86,72,55,87,89,84,58,58,39,37
KCMI,MaxPoP,2016-09-18,7,8,8,8,7,9,8,12,24,58,55
