dest_ip,dest_port,highest_layer,length,timestamp
10.0.2.15,40152,SSL,1502,1521397332.454471
10.0.2.15,40152,SSL,1190,1521397332.455272
52.85.112.16,443,SSL,129,1521397332.459493
52.85.112.16,443,SSL,60,1521397332.459771
52.85.112.16,443,SSL,99,1521397332.459933
10.0.2.15,47298,SSL,1502,1521397332.480836
10.0.2.15,47298,SSL,1564,1521397332.481254
23.23.109.100,443,SSL,129,1521397332.485228
23.23.109.100,443,SSL,105,1521397332.485455
10.0.2.15,46304,SSL,1502,1521397332.499811
10.0.2.15,46304,SSL,672,1521397332.500231
54.193.126.242,443,SSL,129,1521397332.505123
54.193.126.242,443,SSL,105,1521397332.50534
10.0.2.15,40152,SSL,296,1521397332.527005
52.85.112.16,443,SSL,297,1521397332.530029
10.0.2.2,55595,SSH,90,1521397332.549788
10.0.2.2,55595,SSH,90,1521397332.550089
10.0.2.2,55595,SSH,90,1521397332.550306
10.0.2.2,55595,SSH,98,1521397332.55075
10.0.2.2,55595,SSH,90,1521397332.550938
10.0.2.15,40152,SSL,467,1521397332.551367
10.0.2.2,55595,SSH,90,1521397332.551647
10.0.2.2,55595,SSH,114,1521397332.551835
10.0.2.2,55595,SSH,90,1521397332.552063
10.0.2.2,55595,SSH,90,1521397332.552308
10.0.2.2,55595,SSH,90,1521397332.552436
10.0.2.15,47298,SSL,105,1521397332.596601
23.23.109.100,443,SSL,252,1521397332.59723
10.0.2.15,47298,SSL,688,1521397332.646341
10.0.2.2,55595,SSH,90,1521397332.649554
10.0.2.2,55595,SSH,138,1521397332.649943
23.23.109.100,443,SSL,300,1521397332.650312
10.0.2.2,55595,SSH,90,1521397332.650412
10.0.2.15,46304,SSL,328,1521397332.673237
54.193.126.242,443,SSL,230,1521397332.673932
10.0.2.15,47298,SSL,492,1521397332.68716
10.0.2.2,55595,SSH,90,1521397332.687442
10.0.2.2,55595,SSH,90,1521397332.68833
10.0.2.2,55595,SSH,90,1521397332.688549
10.0.2.2,55595,SSH,90,1521397332.691994
10.0.2.2,55595,SSH,98,1521397332.692313
10.0.2.2,55595,SSH,90,1521397332.692508
10.0.2.2,55595,SSH,90,1521397332.69283
10.0.2.2,55595,SSH,90,1521397332.69302
10.0.2.2,55595,SSH,90,1521397332.693254
10.0.2.2,55595,SSH,90,1521397332.693348
10.0.2.15,46304,SSL,711,1521397332.737375
10.0.2.2,55595,SSH,90,1521397332.840556
10.0.2.2,55595,SSH,90,1521397332.840879
10.0.2.2,55595,SSH,90,1521397332.841084
10.0.2.2,55595,SSH,90,1521397332.841536
10.0.2.2,55595,SSH,90,1521397332.841756
52.216.100.11,443,SSL,343,1521397332.996301
10.0.2.15,33404,SSL,146,1521397333.034421
10.0.2.15,33404,SSL,1486,1521397333.035007
10.0.2.15,33404,SSL,1474,1521397333.035893
10.0.2.15,33404,SSL,60,1521397333.036024
10.0.2.15,33404,SSL,63,1521397333.03606
52.216.100.11,443,SSL,129,1521397333.036937
52.216.100.11,443,SSL,105,1521397333.037125
10.0.2.2,55595,SSH,90,1521397333.069243
10.0.2.2,55595,SSH,90,1521397333.069528
10.0.2.2,55595,SSH,90,1521397333.074958
10.0.2.2,55595,SSH,106,1521397333.075411
10.0.2.2,55595,SSH,90,1521397333.07552
10.0.2.15,33404,SSL,105,1521397333.137787
52.216.100.11,443,SSL,249,1521397333.144888
10.0.2.2,55595,SSH,90,1521397333.176994
10.0.2.2,55595,SSH,90,1521397333.177127
10.0.2.2,55595,SSH,90,1521397333.177357
10.0.2.2,55595,SSH,98,1521397333.177863
10.0.2.15,33404,SSL,349,1521397333.22214
10.0.2.15,33404,SSL,389,1521397333.222254
10.0.2.2,55595,SSH,90,1521397333.228658
10.0.2.2,55595,SSH,122,1521397333.228927
54.193.126.242,443,SSL,278,1521397333.229268
10.0.2.2,55595,SSH,90,1521397333.22942
10.0.2.2,55595,SSH,90,1521397333.295493
10.0.2.2,55595,SSH,90,1521397333.29585
10.0.2.2,55595,SSH,90,1521397333.296098
10.0.2.2,55595,SSH,98,1521397333.298991
10.0.2.2,55595,SSH,90,1521397333.299105
10.0.2.15,46304,SSL,707,1521397333.30001
52.216.100.11,443,SSL,297,1521397333.300172
10.0.2.15,33404,SSL,595,1521397333.354904
10.0.2.2,55595,SSH,90,1521397333.359068
10.0.2.2,55595,SSH,98,1521397333.359331
10.0.2.2,55595,SSH,98,1521397333.359649
10.0.2.2,55595,SSH,90,1521397333.414783
10.0.2.2,55595,SSH,90,1521397333.415068
10.0.2.2,55595,SSH,98,1521397333.415492
10.0.2.2,55595,SSH,90,1521397333.519182
10.0.2.2,55595,SSH,90,1521397333.519481
10.0.2.2,55595,SSH,122,1521397333.527242
10.0.2.2,55595,SSH,106,1521397333.539
10.0.2.2,55595,SSH,90,1521397333.554046
10.0.2.15,47298,SSL,85,1521397333.557464
10.0.2.2,55595,SSH,90,1521397333.606688
10.0.2.2,55595,SSH,90,1521397333.748827
10.0.2.2,55595,SSH,90,1521397333.749176
10.0.2.2,55595,SSH,90,1521397333.868436
10.0.2.2,55595,SSH,90,1521397333.868743
10.0.2.2,55595,SSH,90,1521397333.90938
10.0.2.2,55595,SSH,90,1521397333.909788
10.0.2.2,55595,SSH,90,1521397333.910765
10.0.2.2,55595,SSH,90,1521397333.911039
10.0.2.2,55595,SSH,90,1521397333.911886
10.0.2.2,55595,SSH,90,1521397333.912253
10.0.2.2,55595,SSH,90,1521397333.912687
10.0.2.2,55595,SSH,90,1521397333.912925
10.0.2.2,55595,SSH,90,1521397334.338282
10.0.2.2,55595,SSH,90,1521397335.071504
10.0.2.2,55595,SSH,90,1521397335.197777
10.0.2.2,55595,SSH,90,1521397335.198107
10.0.2.2,55595,SSH,90,1521397335.79774
10.0.2.2,55595,SSH,90,1521397335.99055
10.0.2.2,55595,SSH,90,1521397335.990909
10.0.2.2,55595,SSH,90,1521397336.252647
10.0.2.2,55595,SSH,90,1521397336.255028
10.0.2.2,55595,SSH,90,1521397336.288283
10.0.2.2,55595,SSH,90,1521397336.289334
10.0.2.2,55595,SSH,90,1521397336.30489
10.0.2.2,55595,SSH,90,1521397336.305915
10.0.2.2,55595,SSH,90,1521397336.309879
10.0.2.2,55595,SSH,90,1521397336.311474
10.0.2.2,55595,SSH,90,1521397336.467997
10.0.2.2,55595,SSH,90,1521397336.470993
10.0.2.2,55595,SSH,90,1521397336.536457
10.0.2.2,55595,SSH,90,1521397336.586785
10.0.2.2,55595,SSH,90,1521397336.588077
10.0.2.2,55595,SSH,90,1521397336.637381
10.0.2.2,55595,SSH,90,1521397336.638329
10.0.2.2,55595,SSH,90,1521397336.640685
10.0.2.2,55595,SSH,90,1521397336.641636
10.0.2.2,55595,SSH,90,1521397336.642648
10.0.2.2,55595,SSH,90,1521397336.644047
10.0.2.2,55595,SSH,90,1521397336.644491
10.0.2.2,55595,SSH,90,1521397336.644818
10.0.2.2,55595,SSH,90,1521397336.757429
10.0.2.2,55595,SSH,90,1521397336.75768
10.0.2.2,55595,SSH,90,1521397336.829701
10.0.2.2,55595,SSH,90,1521397336.830058
10.0.2.2,55595,SSH,90,1521397336.860271
10.0.2.2,55595,SSH,90,1521397336.860569
10.0.2.2,55595,SSH,90,1521397336.864348
10.0.2.2,55595,SSH,90,1521397336.864659
10.0.2.2,55595,SSH,90,1521397336.868481
10.0.2.2,55595,SSH,90,1521397336.869207
10.0.2.2,55595,SSH,90,1521397336.870267
10.0.2.2,55595,SSH,90,1521397336.873994
10.0.2.2,55595,SSH,90,1521397336.87477
10.0.2.2,55595,SSH,90,1521397336.875958
10.0.2.2,55595,SSH,98,1521397336.879051
10.0.2.2,55595,SSH,90,1521397336.912018
10.0.2.2,55595,SSH,90,1521397336.912375
10.0.2.2,55595,SSH,90,1521397336.945012
10.0.2.2,55595,SSH,90,1521397336.945294
10.0.2.2,55595,SSH,90,1521397336.985127
10.0.2.2,55595,SSH,90,1521397336.98612
10.0.2.2,55595,SSH,90,1521397336.986847
10.0.2.2,55595,SSH,90,1521397336.987784
10.0.2.2,55595,SSH,90,1521397336.988565
10.0.2.2,55595,SSH,90,1521397336.992133
10.0.2.2,55595,SSH,90,1521397336.992621
10.0.2.2,55595,SSH,90,1521397336.994373
10.0.2.2,55595,SSH,90,1521397337.015916
10.0.2.2,55595,SSH,90,1521397337.016905
10.0.2.2,55595,SSH,90,1521397337.040011
10.0.2.2,55595,SSH,90,1521397337.044019
10.0.2.2,55595,SSH,90,1521397337.05684
10.0.2.2,55595,SSH,90,1521397337.058074
10.0.2.2,55595,SSH,90,1521397337.058849
10.0.2.2,55595,SSH,90,1521397337.059514
10.0.2.2,55595,SSH,90,1521397337.059949
10.0.2.2,55595,SSH,90,1521397337.060887
10.0.2.2,55595,SSH,90,1521397337.063743
10.0.2.2,55595,SSH,90,1521397337.064871
10.0.2.2,55595,SSH,90,1521397337.065392
10.0.2.2,55595,SSH,90,1521397337.06609
10.0.2.2,55595,SSH,90,1521397337.066889
10.0.2.2,55595,SSH,90,1521397337.173727
10.0.2.2,55595,SSH,90,1521397337.1764
10.0.2.2,55595,SSH,98,1521397337.347895
10.0.2.2,55595,SSH,90,1521397337.348079
10.0.2.2,55595,SSH,114,1521397337.438368
10.0.2.2,55595,SSH,90,1521397337.446021
10.0.2.2,55595,SSH,90,1521397337.447838
10.0.2.2,55595,SSH,90,1521397337.540178
10.0.2.2,55595,SSH,90,1521397337.540608
10.0.2.2,55595,SSH,90,1521397337.949038
10.0.2.2,55595,SSH,90,1521397337.949164
10.0.2.2,55595,SSH,106,1521397337.949389
10.0.2.2,55595,SSH,90,1521397337.949785
10.0.2.2,55595,SSH,90,1521397337.950388
10.0.2.2,55595,SSH,90,1521397337.950604
10.0.2.2,55595,SSH,138,1521397337.981692
10.0.2.2,55595,SSH,90,1521397337.982011
10.0.2.2,55595,SSH,242,1521397337.994113
10.0.2.2,55595,SSH,90,1521397337.996311
10.0.2.15,22,SSH,90,1521397338.473409
10.0.2.2,55595,SSH,98,1521397338.473674
10.0.2.15,22,SSH,90,1521397339.320912
10.0.2.2,55595,SSH,90,1521397339.322019
10.0.2.2,55595,SSH,98,1521397339.336317
10.0.2.2,55595,SSH,90,1521397339.336464
10.0.2.2,55595,SSH,106,1521397339.336779
10.0.2.2,55595,SSH,90,1521397339.336871
10.0.2.2,55595,SSH,114,1521397339.337089
10.0.2.2,55595,SSH,90,1521397339.337331
10.0.2.2,55595,SSH,98,1521397339.337589
10.0.2.2,55595,SSH,90,1521397339.33779
10.0.2.2,55595,SSH,146,1521397339.353548
10.0.2.2,55595,SSH,106,1521397339.367569
10.0.2.2,55595,SSH,98,1521397339.368756
10.0.2.2,55595,SSH,90,1521397339.369018
10.0.2.2,55595,SSH,106,1521397339.370217
10.0.2.2,55595,SSH,106,1521397339.372157
10.0.2.2,55595,SSH,106,1521397339.386325
10.0.2.2,55595,SSH,114,1521397339.485079
10.0.2.2,55595,SSH,130,1521397339.498153
10.0.2.2,55595,SSH,98,1521397339.541919
10.0.2.2,55595,SSH,114,1521397339.578583
10.0.2.2,55595,SSH,122,1521397339.592593
10.0.2.2,55595,SSH,122,1521397339.606598
10.0.2.15,22,SSH,90,1521397341.721634
